PersonnelNumber;DisplayName;ContractedHoursMonthly;GenderCode;PrimaryRole;Email;ExternalLegacyId
1001;Thomas Müller;174;M;LSKP;;LSKP-1001
1002;Michael Schmidt;174;M;LSKP;;LSKP-1002
1003;Andreas Schneider;174;M;LSKP;;LSKP-1003
1004;Stefan Fischer;174;M;LSKP;;LSKP-1004
1005;Markus Weber;174;M;LSKP;;LSKP-1005
1006;Christian Meyer;174;M;LSKP;;LSKP-1006
1007;Daniel Wagner;174;M;LSKP;;LSKP-1007
1008;Sebastian Becker;174;M;LSKP;;LSKP-1008
1009;Alexander Schulz;174;M;LSKP;;LSKP-1009
1010;Martin Hoffmann;174;M;LSKP;;LSKP-1010
1011;Patrick Schäfer;174;M;LSKP;;LSKP-1011
1012;Florian Koch;174;M;LSKP;;LSKP-1012
1013;Jan Bauer;174;M;LSKP;;LSKP-1013
1014;Kevin Richter;174;M;LSKP;;LSKP-1014
1015;Benjamin Klein;174;M;LSKP;;LSKP-1015
1016;Matthias Wolf;174;M;LSKP;;LSKP-1016
1017;Philipp Schröder;174;M;LSKP;;LSKP-1017
1018;Tobias Neumann;174;M;LSKP;;LSKP-1018
1019;Felix Schwarz;174;M;LSKP;;LSKP-1019
1020;Lukas Zimmermann;174;M;LSKP;;LSKP-1020
1021;Marco Braun;174;M;LSKP;;LSKP-1021
1022;Oliver Krüger;174;M;LSKP;;LSKP-1022
1023;Tim Hartmann;174;M;LSKP;;LSKP-1023
1024;Niklas Lange;174;M;LSKP;;LSKP-1024
1025;Jonas Schmitt;174;M;LSKP;;LSKP-1025
1026;David Werner;174;M;LSKP;;LSKP-1026
1027;Simon Schmitz;174;M;LSKP;;LSKP-1027
1028;Fabian Krause;174;M;LSKP;;LSKP-1028
1029;Dominik Meier;174;M;LSKP;;LSKP-1029
1030;Marcel Lehmann;174;M;LSKP;;LSKP-1030
1031;René Huber;174;M;LSKP;;LSKP-1031
1032;Sven Kaiser;174;M;LSKP;;LSKP-1032
1033;Holger Fuchs;174;M;LSKP;;LSKP-1033
1034;Jens Peters;174;M;LSKP;;LSKP-1034
1035;Uwe Lang;174;M;LSKP;;LSKP-1035
1036;Klaus Scholz;174;M;LSKP;;LSKP-1036
1037;Anna Möller;174;F;LSKP;;LSKP-1037
1038;Sarah Weiß;174;F;LSKP;;LSKP-1038
1039;Julia Jung;174;F;LSKP;;LSKP-1039
1040;Laura Hahn;174;F;LSKP;;LSKP-1040
1041;Lisa Schubert;174;F;LSKP;;LSKP-1041
1042;Maria Vogel;174;F;LSKP;;LSKP-1042
1043;Sabine Friedrich;174;F;LSKP;;LSKP-1043
1044;Petra Keller;174;F;LSKP;;LSKP-1044
1045;Claudia Günther;174;F;LSKP;;LSKP-1045
1046;Nicole Frank;174;F;LSKP;;LSKP-1046
1047;Katrin Berger;174;F;LSKP;;LSKP-1047
1048;Susanne Winkler;174;F;LSKP;;LSKP-1048
1049;Melanie Roth;174;F;LSKP;;LSKP-1049
1050;Jessica Beck;174;F;LSKP;;LSKP-1050
1051;Sandra Lorenz;174;F;LSKP;;LSKP-1051
1052;Christina Baumann;174;F;LSKP;;LSKP-1052
1053;Peter Franke;174;M;Security;;SEC-1053
1054;Frank Albrecht;174;M;Security;;SEC-1054
1055;Bernd Schuster;174;M;Security;;SEC-1055
1056;Wolfgang Simon;174;M;Security;;SEC-1056
1057;Heiko Ludwig;174;M;Security;;SEC-1057
1058;Ralf Böhm;174;M;Security;;SEC-1058
1059;Dirk Winter;174;M;Security;;SEC-1059
1060;Torsten Kraus;174;M;Security;;SEC-1060
1061;Carsten Martin;174;M;Security;;SEC-1061
1062;Björn Schumacher;174;M;Security;;SEC-1062
1063;Lars Krämer;174;M;Security;;SEC-1063
1064;Nico Vogt;174;M;Security;;SEC-1064
1065;Maximilian Stein;174;M;Security;;SEC-1065
1066;Leon Jäger;174;M;Security;;SEC-1066
1067;Paul Otto;174;M;Security;;SEC-1067
1068;Erik Sommer;174;M;Security;;SEC-1068
1069;Henrik Groß;174;M;Security;;SEC-1069
1070;Moritz Seidel;174;M;Security;;SEC-1070
1071;Julian Heinrich;174;M;Security;;SEC-1071
1072;Armin Brandt;174;M;Security;;SEC-1072
1073;Cedric Haas;174;M;Security;;SEC-1073
1074;Dennis Schreiber;174;M;Security;;SEC-1074
1075;Georg Graf;174;M;Security;;SEC-1075
1076;Hannes Schulte;174;M;Security;;SEC-1076
1077;Stefanie Dietrich;174;F;Security;;SEC-1077
1078;Katharina Ziegler;174;F;Security;;SEC-1078
1079;Jennifer Kuhn;174;F;Security;;SEC-1079
1080;Nadine Kühn;174;F;Security;;SEC-1080
1081;Vanessa Pohl;174;F;Security;;SEC-1081
1082;Tanja Engel;174;F;Security;;SEC-1082
1083;Andrea Horn;174;F;Security;;SEC-1083
1084;Birgit Busch;174;F;Security;;SEC-1084
1085;Monika Bergmann;174;F;Security;;SEC-1085
1086;Heike Thomas;174;F;Security;;SEC-1086
